"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Eif3g",498.06897507185,399.80660699728,358.377805930535,336.986310459767,354.09471133126,320.934192753792
"Dnmt1",236.111853618054,194.465933643477,186.153842656497,175.922306695046,169.242483838143,152.323989993591
"S1pr2",106.447459052295,126.019042525543,111.861152616716,104.008120512274,84.6212419190714,98.6752891153449
"Mrpl4",63.5180311217399,53.7340079804344,58.2522228721011,61.2162080729383,71.476194630672,67.0608760978072
"Icam1",35.9205417378115,23.6685511342389,26.1712885367411,46.9522372598265,25.4685291212739,32.5724255332206
"Icam5",7.88499696683667,8.31597742554341,8.02023358384,7.72631752376892,10.6803509218245,1.91602503136592
"Raver1",10.5133292891156,5.11752456956518,8.44235114088421,6.53765328934293,6.57252364419972,8.62211264114664
"Tyk2",21.9027693523241,19.8304077070651,17.7289373958569,20.2072919852418,23.003832754699,16.2862127666103
"Cdc37",168.651324012896,157.363880514129,132.544912911882,132.536062138498,128.98577651742,143.701877352444
"Pde4a",48.6241479621595,46.6974116972822,36.3021099058021,61.2162080729383,64.9036709864722,46.942613268465
"Keap1",141.053834628967,134.974710522282,111.861152616716,123.02674826309,105.160378307196,105.381376725126
"Cdkn2d",88.4871881833893,67.8072005467386,68.3830442411622,42.7919124393355,51.7586236980728,39.2785131430013
"Slc44a2",54.3188679937638,86.997917682608,65.4282213418527,110.545773801617,76.4055873638218,64.1868385507583
"Ilf3",54.3188679937638,42.8592682701084,58.2522228721011,59.4332117212994,54.2233200646477,72.8089511919049
"Qtrt1",24.9691570616495,28.7860757038041,19.4174076240337,23.1789525713067,19.7175709325992,19.1602503136592
"Dnm2",154.195496240362,147.768521946195,112.28327017376,153.337686240952,124.05638378427,124.541627038785
"Gm57796",5.69472003160426,7.03659628315212,5.90964579861895,13.6696386958989,7.39408909972469,8.62211264114664
"Tmed1",25.4072124486959,15.3525737086955,11.8192915972379,14.2639708131118,14.7881781994494,22.0342878607081
"Timm29",30.6638770932537,26.8670039902172,20.6837602951663,30.9052700950757,22.1822672991741,22.992300376391
"Smarca4",399.944568373438,305.772093031519,268.044648723074,313.807357888461,292.477302166888,345.842518161548
