name,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Klk1b4,0,1,0,0,0,1,0
Klk1b5,0,0,0,0,0,0,0
Gm10109,0,3,0,3,0,1,0
Klk1,2,4,8,0,0,0,5
1700028J19Rik,1,2,2,1,4,6,8
Gm36864,0,0,0,0,0,0,0
2410002F23Rik,8,22,16,23,5,11,9
Gm26247,0,0,0,0,0,0,0
Snord88c,0,0,0,0,0,0,0
Snord88a,0,0,0,0,0,0,0
Gm23991,0,0,0,0,0,0,0
Acp4,0,1,0,0,0,0,0
Gm15517,0,0,0,0,0,1,1
Gm18905,3,7,2,1,0,1,0
Gm7238,0,0,0,0,0,0,0
Clec11a,1146,953,1238,1020,565,1928,1236
Shank1,126,95,87,88,83,115,81
1700008O03Rik,2,0,3,2,7,3,0
Gm39001,0,0,0,0,0,0,0
Syt3,14,7,17,5,4,18,3
Gm39002,0,0,0,0,2,0,0
Lrrc4b,2,0,2,0,2,3,1
Gm39003,0,0,1,0,2,0,1
Aspdh,0,0,0,1,0,0,0
Josd2,594,533,576,484,312,911,644
Mir7052,0,0,0,0,0,0,0
5430431A17Rik,6,3,5,7,5,4,11
Emc10,1355,1017,1609,1143,753,2167,1267
Garin5a,6,6,9,12,8,20,14
Mybpc2,2,0,0,1,2,3,0
Spib,22,8,34,3,11,16,8
Pold1,149,120,105,130,64,160,220
Mir7053,0,0,0,0,0,0,0
Nr1h2,457,320,420,371,265,741,446
Napsa,6,2,3,0,0,2,3
Gm15396,0,0,0,0,0,0,0
Kcnc3,2,3,0,1,11,19,19
Myh14,0,0,0,2,2,2,3
2310016G11Rik,0,0,0,0,0,0,0
Izumo2,0,0,0,0,0,0,0
Zfp473,5,2,2,0,0,2,2
Vrk3,192,108,226,152,141,234,193
Gm29791,7,7,12,0,5,5,3
Atf5,2039,1606,2715,1090,626,2380,1211
Nup62,156,114,137,180,116,229,205
Il4i1b,0,0,0,0,0,0,0
Il4i1,0,1,0,0,0,0,0
Tbc1d17,204,137,176,151,113,219,201
Akt1s1,488,452,594,529,345,803,602
Mir707,0,0,0,0,0,0,0
Pnkp,143,98,114,110,66,155,112
Ptov1,28,14,38,32,30,22,17
Med25,630,544,697,618,404,973,709
Fuz,12,11,11,9,4,6,5
Ap2a1,18,18,23,16,8,24,14
Tsks,0,3,1,1,3,0,0
Cpt1c,275,221,287,224,185,379,251
Prmt1,449,448,484,676,401,1018,719
Gm15545,0,0,1,0,0,1,2
Bcl2l12,64,36,61,60,30,80,63
Irf3,476,349,442,493,255,718,492
Scaf1,73,91,80,82,46,152,66
Mir7054,0,0,0,0,0,0,0
Rras,1368,872,1344,1106,525,2252,1295
Prr12,184,175,191,182,124,305,221
Prrg2,192,106,177,128,73,227,156
Nosip,326,210,337,333,207,480,332
Rcn3,7044,6587,7282,5768,3035,11320,6513
Fcgrt,1732,829,1806,854,606,1709,968
Gm45552,13,17,34,4,13,12,5
Mir150,0,0,0,0,0,0,0
Rps11,20,15,21,14,7,29,20
Snord35b,0,0,0,0,0,0,0
Rpl13a,7729,5205,8839,7870,5021,10735,9413
Snord35a,0,0,0,0,0,1,0
Snord34,1,0,0,0,0,0,0
Snord33,0,0,0,0,0,0,0
Mir5121,0,0,0,0,0,0,0
Snord32a,0,0,0,0,0,0,1
Flt3l,168,57,201,68,60,121,76
Aldh16a1,137,96,132,136,132,191,144
Pih1d1,289,248,299,250,178,493,338
Slc17a7,0,2,0,2,3,2,3
Mir7055,0,0,0,0,0,0,0
Gfy,0,0,0,1,0,1,0
Pth2,0,0,1,0,0,0,0
Kash5,1,1,0,3,3,22,6
Gm31097,0,0,1,0,1,1,0
Dkkl1,0,0,0,0,0,3,2
Tead2,69,67,91,105,62,87,86
Cd37,7,8,8,13,4,16,8
Slc6a16,0,0,0,0,0,0,0
Gm23585,0,0,0,0,0,0,0
Slc6a21,0,0,0,0,1,0,0
Gm39006,0,3,1,0,2,3,4
Trpm4,63,38,82,62,55,73,64
Rpl14-ps1,304,316,612,392,262,556,340
Hrc,1,1,0,1,0,0,1
Ppfia3,8,4,1,9,11,11,12
Mtag2,0,0,0,3,0,2,1
Lin7b,3,3,1,2,6,1,1
Snrnp70,918,675,1003,1093,819,1091,1068
Kcna7,0,1,3,0,0,0,2
Ntf5,46,18,25,45,31,62,39
Saxo3,0,0,0,0,0,1,0
Lhb,0,0,0,0,0,0,1
Ruvbl2,121,94,130,111,60,213,184
Gys1,121,230,137,272,179,529,374
Ftl1,11672,5248,14456,5488,4443,10263,7128
Bax,482,385,586,455,249,767,524
Dhdh,73,31,73,15,23,40,31
Tulp2,8,1,2,7,8,12,6
Nucb1,2284,2009,2750,1726,1123,4015,1996
Ppp1r15a,1597,761,1719,627,738,1199,661
Plekha4,409,296,423,203,230,378,215
Gm53387,0,0,0,1,1,0,0
Hsd17b14,2,2,7,7,3,6,3
0610005C13Rik,0,0,0,0,0,0,1
Bcat2,34,31,47,28,16,54,26
Gm31479,0,0,2,0,0,2,0
Fgf21,5,3,2,5,7,9,4
Fut1,0,0,0,0,0,0,0
Izumo1,2,1,3,0,0,0,1
Rasip1,4,3,0,5,9,8,5
A030001D20Rik,5,3,2,9,1,7,5
Mamstr,51,50,41,58,31,87,89
Fut2,1,3,4,7,2,4,7
Gm39008,1,1,2,1,1,2,0
Sec1,3,7,0,7,8,3,17
Ntn5,1,6,1,12,2,8,10
Car11,109,29,62,53,45,98,74
Dbp,5,0,6,4,1,3,1
Sphk2,104,116,98,101,46,181,131
Rpl18,4002,3531,5469,4950,2744,8408,5898
Fam83e,5,3,9,6,2,7,8
Spaca4,0,0,0,0,0,0,0
Sult2b1,4,4,2,13,2,15,3
Gm31597,1,1,0,2,1,3,3
Gm39009,0,0,0,0,1,1,0
Gm5897,0,0,0,0,0,0,0
Lmtk3,4,6,10,11,3,7,5
Cyth2,340,217,366,331,226,564,346
Kcnj14,1,0,0,2,1,0,3
Grwd1,50,43,66,63,52,103,97
Grin2d,42,59,48,35,37,59,40
