ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001011870.2,0,0,0,0,0,0
NM_001011871.1,0,0,0,0,0,0
NM_001011872.2,0,0,0,0,0,0
NM_001011873.2,0,0,0,0,0,0
NM_001011874.1,0,0,0,0,0,0
NM_001011875.2,0,0,0,0,0,0
NM_001011876.2,0,0,0,0,0,0
NM_001011877.2,0,0,0,0,0,0
NM_001012236.1,0,0,0,0,0,0
NM_001012265.1,0,0,0,0,0,0
NM_001012266.1,0,0,0,0,0,0
NM_001012269.2,0,0,0,0,0,0
NM_001012273.1,3.31,2.191,0,0,2.173,0
NM_001012305.3,0,0,0,1,0,0
NM_001012306.2,0,0,0,0,0,0
NM_001012307.2,0,0,0,0,0,0
NM_001012309.2,257,289,299,356,272,189
NM_001012310.2,20,10,9,8,12,8
NM_001012311.2,2,0,0,3,2,0
NM_001012322.2,0,0,0,0,0,0
NM_001012323.1,0,0,0,0,0,0
NM_001012324.4,1,0,0,0,0,0
NM_001012325.2,0,0,0,0,0,0
NM_001012330.2,0,0,0,0,0,0
NM_001012335.3,0,0,0,0,0,0
NM_001012336.3,0,0,0,0,0,0
NM_001012363.2,0,0,0,0,0,0
NM_001012392.1,0,0,0,0,0,0
NM_001012396.2,401,533,328,348,442,281
NM_001012400.3,0,0,107.641,127.661,0,0
NM_001012401.3,0,0,0,0,14.88,0
NM_001012402.2,1,0,0,0,0,3
NM_001012434.3,0,0,0,0,0,0
NM_001012448.2,0,0,0,0,0,0
NM_001012449.2,0,0,0,0,0,0
NM_001012450.1,0,0,0,0,0,0
NM_001012451.1,0,0,0,0,0,0
NM_001012477.2,0,0,0,0,0,0
NM_001012517.6,0,0,0,0,0,0
NM_001012518.3,0,0,0,0,0,0
NM_001012520.3,0,0,0,0,0,0
NM_001012623.4,0,0,0,0,0,0
NM_001012624.4,0,0,0,0,0,0
NM_001012625.4,0,0,0,0,0,0
NM_001012638.3,0,0,0,0,0,0
NM_001012640.2,0,0,0,0,0,0
NM_001012667.3,0,0,0,0,0,0
NM_001012704.1,0,0,0,0,0,0
NM_001012723.2,0,0,0,0,0,0
NM_001012725.3,0,0,0,0,0,0
NM_001012765.6,0,0,0,0,0,0
NM_001013012.2,0,0,0,0,0,0
NM_001013013.2,0,0,0,0,0,0
NM_001013019.3,0,0,0,0,0,0
NM_001013022.2,0,0,0,0,0,0
NM_001013023.2,0,0,0,0,0,0
NM_001013024.2,0,0,0,0,1,0
NM_001013025.3,68,102,74,106,88,77
NM_001013026.2,146,163.992,101,148,162,71
NM_001013028.2,17.522,14,24.164,33.263,25.812,18.863
NM_001013256.2,0,0,0,0,0,0
NM_001013360.2,0,0,0,0,0,6
NM_001013362.2,0,0,0,0,0,0
NM_001013365.3,0,0,0,0,0,0
NM_001013366.1,15,25,17,10,16,14
NM_001013367.3,0,0,0,0,0,0
NM_001013368.5,0,21.477,0,0,0,8.518
NM_001013369.3,0,0,0,0,0,0
NM_001013370.2,25,23,31,38,32,19
NM_001013371.2,26.918,24.373,30.535,45.851,47.634,14.64
NM_001013372.2,15.286,24.524,24.458,16.629,8.312,4.355
